type_id:ID,:LABEL,label,category,unit,variable_name
VAR_AGE_01to02F_N,E55_Type,Number of females aged 1 to 2,AGE,persons,AGE_01to02F_N
VAR_AGE_01to02M_N,E55_Type,Number of males aged 1 to 2,AGE,persons,AGE_01to02M_N
VAR_AGE_02to03F_N,E55_Type,Number of females aged 2 to 3,AGE,persons,AGE_02to03F_N
VAR_AGE_02to03M_N,E55_Type,Number of males aged 2 to 3,AGE,persons,AGE_02to03M_N
VAR_AGE_03to04F_N,E55_Type,Number of females age 3 to 4,AGE,persons,AGE_03to04F_N
VAR_AGE_03to04M_N,E55_Type,Number of males aged 3 to 4,AGE,persons,AGE_03to04M_N
VAR_AGE_04to05F_N,E55_Type,Number of females aged 4 to 5,AGE,persons,AGE_04to05F_N
VAR_AGE_04to05M_N,E55_Type,Number of males aged 4 to 5,AGE,persons,AGE_04to05M_N
VAR_AGE_05to10F_N,E55_Type,Number of females aged 5 to 10,AGE,persons,AGE_05to10F_N
VAR_AGE_05to10M_N,E55_Type,Number of males aged 5 to 10,AGE,persons,AGE_05to10M_N
VAR_AGE_05to16F_N,E55_Type,Number of females aged 5 to 16,AGE,persons,AGE_05to16F_N
VAR_AGE_05to16M_N,E55_Type,Number of males aged 5 to 16,AGE,persons,AGE_05to16M_N
VAR_AGE_0to01F_N,E55_Type,Number of females under age 1,AGE,persons,AGE_0to01F_N
VAR_AGE_0to01M_N,E55_Type,Number of males under age 1,AGE,persons,AGE_0to01M_N
VAR_AGE_0to05F_N,E55_Type,Number of females aged 0 to 5,AGE,persons,AGE_0to05F_N
VAR_AGE_0to05M_N,E55_Type,Number of males aged under 5,AGE,persons,AGE_0to05M_N
VAR_AGE_0to17FS_N,E55_Type,Number of single females under 18,AGE,persons,AGE_0to17FS_N
VAR_AGE_0to17MS_N,E55_Type,Number of single males under 18,AGE,persons,AGE_0to17MS_N
VAR_AGE_0to17XS_N,E55_Type,Number of single persons under 18,AGE,persons,AGE_0to17XS_N
VAR_AGE_10to15FM_N,E55_Type,Number of married females aged 10 to 15,AGE,persons,AGE_10to15FM_N
VAR_AGE_10to15FS_N,E55_Type,Number of single females aged 10 to 15,AGE,persons,AGE_10to15FS_N
VAR_AGE_10to15MM_N,E55_Type,Number of married males aged 10 to 15,AGE,persons,AGE_10to15MM_N
VAR_AGE_10to15MS_N,E55_Type,Number of single males aged 10 to 15,AGE,persons,AGE_10to15MS_N
VAR_AGE_15to20FM_N,E55_Type,Number of married females aged 15 to 20,AGE,persons,AGE_15to20FM_N
VAR_AGE_15to20FS_N,E55_Type,Number of single females aged 15 to 20,AGE,persons,AGE_15to20FS_N
VAR_AGE_15to20MM_N,E55_Type,Number of married males aged 15 to 20,AGE,persons,AGE_15to20MM_N
VAR_AGE_15to20MS_N,E55_Type,Number of single males aged 15 to 20,AGE,persons,AGE_15to20MS_N
VAR_AGE_16to21F_N,E55_Type,Number of females aged 16 to 21,AGE,persons,AGE_16to21F_N
VAR_AGE_16to21M_N,E55_Type,Number of males aged 16 to 21,AGE,persons,AGE_16to21M_N
VAR_AGE_20to30FM_N,E55_Type,Number of married females aged 20 to 30,AGE,persons,AGE_20to30FM_N
VAR_AGE_20to30FS_N,E55_Type,Number of single females aged 20 to 30,AGE,persons,AGE_20to30FS_N
VAR_AGE_20to30FW_N,E55_Type,Number of widowed females aged 20 to 30,AGE,persons,AGE_20to30FW_N
VAR_AGE_20to30MM_N,E55_Type,Number of married males aged 20 to 30,AGE,persons,AGE_20to30MM_N
VAR_AGE_20to30MS_N,E55_Type,Number of single males aged 20 to 30,AGE,persons,AGE_20to30MS_N
VAR_AGE_20to30MW_N,E55_Type,Number of widowed males aged 20 to 30,AGE,persons,AGE_20to30MW_N
VAR_AGE_21to45F_N,E55_Type,Number of females aged 21-45,AGE,persons,AGE_21to45F_N
VAR_AGE_21to45M_N,E55_Type,Number of males aged 21 to 45,AGE,persons,AGE_21to45M_N
VAR_AGE_30to40FM_N,E55_Type,Number of married females aged 30 to 40,AGE,persons,AGE_30to40FM_N
VAR_AGE_30to40FS_N,E55_Type,Number of single females aged 30 to 40,AGE,persons,AGE_30to40FS_N
VAR_AGE_30to40FW_N,E55_Type,Number of widowed females aged 30 to 40,AGE,persons,AGE_30to40FW_N
VAR_AGE_30to40MM_N,E55_Type,Number of married males aged 30 to 40,AGE,persons,AGE_30to40MM_N
VAR_AGE_30to40MS_N,E55_Type,Number of single males aged 30 to 40,AGE,persons,AGE_30to40MS_N
VAR_AGE_30to40MW_N,E55_Type,Number of widowed males aged 30 to 40,AGE,persons,AGE_30to40MW_N
VAR_AGE_40to50FM_N,E55_Type,Number of married females aged 40 to 50,AGE,persons,AGE_40to50FM_N
VAR_AGE_40to50FS_N,E55_Type,Number of single females aged 40 to 50,AGE,persons,AGE_40to50FS_N
VAR_AGE_40to50FW_N,E55_Type,Number of widowed females aged 40 to 50,AGE,persons,AGE_40to50FW_N
VAR_AGE_40to50MM_N,E55_Type,Number of married males aged 40 to 50,AGE,persons,AGE_40to50MM_N
VAR_AGE_40to50MS_N,E55_Type,Number of single males aged 40 to 50,AGE,persons,AGE_40to50MS_N
VAR_AGE_40to50MW_N,E55_Type,Number of widowed males aged 40 to 50,AGE,persons,AGE_40to50MW_N
VAR_AGE_45to60F_N,E55_Type,Number of females aged 45-60,AGE,persons,AGE_45to60F_N
VAR_AGE_45to60M_N,E55_Type,Number of males aged 45 to 60,AGE,persons,AGE_45to60M_N
VAR_AGE_50to60FM_N,E55_Type,Number of married females aged 50 to 60,AGE,persons,AGE_50to60FM_N
VAR_AGE_50to60FS_N,E55_Type,Number of single females aged 50 to 60,AGE,persons,AGE_50to60FS_N
VAR_AGE_50to60FW_N,E55_Type,Number of widowed females aged 50 to 60,AGE,persons,AGE_50to60FW_N
VAR_AGE_50to60MM_N,E55_Type,Number of married males aged 50 to 60,AGE,persons,AGE_50to60MM_N
VAR_AGE_50to60MS_N,E55_Type,Number of single males aged 50 to 60,AGE,persons,AGE_50to60MS_N
VAR_AGE_50to60MW_N,E55_Type,Number of widowed males aged 50 to 60,AGE,persons,AGE_50to60MW_N
VAR_AGE_60to70FM_N,E55_Type,Number of married females aged 60 to 70,AGE,persons,AGE_60to70FM_N
VAR_AGE_60to70FS_N,E55_Type,Number of single females aged 60 to 70,AGE,persons,AGE_60to70FS_N
VAR_AGE_60to70FW_N,E55_Type,Number of widowed females aged 60 to 70,AGE,persons,AGE_60to70FW_N
VAR_AGE_60to70MM_N,E55_Type,Number of married males aged 60 to 70,AGE,persons,AGE_60to70MM_N
VAR_AGE_60to70MS_N,E55_Type,Number of single males aged 60 to 70,AGE,persons,AGE_60to70MS_N
VAR_AGE_60to70MW_N,E55_Type,Number of widowed males aged 60 to 70,AGE,persons,AGE_60to70MW_N
VAR_AGE_70to80FM_N,E55_Type,Number of married females aged 70 to 80,AGE,persons,AGE_70to80FM_N
VAR_AGE_70to80FS_N,E55_Type,Number of single females aged 70 to 80,AGE,persons,AGE_70to80FS_N
VAR_AGE_70to80FW_N,E55_Type,Number of widowed females aged 70 to 80,AGE,persons,AGE_70to80FW_N
VAR_AGE_70to80MM_N,E55_Type,Number of married males aged 70 to 80,AGE,persons,AGE_70to80MM_N
VAR_AGE_70to80MS_N,E55_Type,Number of single males aged 70 to 80,AGE,persons,AGE_70to80MS_N
VAR_AGE_70to80MW_N,E55_Type,Number of widowed males aged 70 to 80,AGE,persons,AGE_70to80MW_N
VAR_AGE_80to90FM_N,E55_Type,Number of married females aged 80 to 90,AGE,persons,AGE_80to90FM_N
VAR_AGE_80to90FS_N,E55_Type,Number of single females aged 80 to 90,AGE,persons,AGE_80to90FS_N
VAR_AGE_80to90FW_N,E55_Type,Number of widowed females aged 80 to 90,AGE,persons,AGE_80to90FW_N
VAR_AGE_80to90MM_N,E55_Type,Number of married males aged 80 to 90,AGE,persons,AGE_80to90MM_N
VAR_AGE_80to90MS_N,E55_Type,Number of single males aged 80 to 90,AGE,persons,AGE_80to90MS_N
VAR_AGE_80to90MW_N,E55_Type,Number of widowed males aged 80 to 90,AGE,persons,AGE_80to90MW_N
VAR_AGE_90to100FM_N,E55_Type,Number of married females aged 90 to 100,AGE,persons,AGE_90to100FM_N
VAR_AGE_90to100FS_N,E55_Type,Number of single females aged 90 to 100,AGE,persons,AGE_90to100FS_N
VAR_AGE_90to100FW_N,E55_Type,Number of widowed females aged 90 to 100,AGE,persons,AGE_90to100FW_N
VAR_AGE_90to100MM_N,E55_Type,Number of married males aged 90 to 100,AGE,persons,AGE_90to100MM_N
VAR_AGE_90to100MS_N,E55_Type,Number of single males aged 90 to 100,AGE,persons,AGE_90to100MS_N
VAR_AGE_90to100MW_N,E55_Type,Number of widowed males aged 90 to 100,AGE,persons,AGE_90to100MW_N
VAR_AGE_NF_N,E55_Type,Number of females of unknown age,AGE,persons,AGE_NF_N
VAR_AGE_NM_N,E55_Type,Number of males of unknown age,AGE,persons,AGE_NM_N
VAR_AGE_ov100FM_N,E55_Type,Number of married females over 100,AGE,persons,AGE_ov100FM_N
VAR_AGE_ov100FS_N,E55_Type,Number of single females over 100,AGE,persons,AGE_ov100FS_N
VAR_AGE_ov100FW_N,E55_Type,Number of widowed females over 100,AGE,persons,AGE_ov100FW_N
VAR_AGE_ov100MM_N,E55_Type,Number of married males over 100,AGE,persons,AGE_ov100MM_N
VAR_AGE_ov100MS_N,E55_Type,Number of single males over 100,AGE,persons,AGE_ov100MS_N
VAR_AGE_ov100MW_N,E55_Type,Number of widowed males over 100,AGE,persons,AGE_ov100MW_N
VAR_AGE_ov60F_N,E55_Type,Number of females over 60,AGE,persons,AGE_ov60F_N
VAR_AGE_ov60M_N,E55_Type,Number of males over 60,AGE,persons,AGE_ov60M_N
VAR_ARE_XX_A,E55_Type,Total area (acres),AGR,unknown,ARE_XX_A
VAR_BAR_XX_A,E55_Type,Acres of barley,AGR,unknown,BAR_XX_A
VAR_BAR_XX_B,E55_Type,Bushels of barley produced in the past year,AGR,unknown,BAR_XX_B
VAR_BEAN_XX_B,E55_Type,Bushels of beans produced in the past year,AGR,unknown,BEAN_XX_B
VAR_BEEF_XX_BL,E55_Type,Barrels of beef produced in the past year,AGR,unknown,BEEF_XX_BL
VAR_BUT_XX_LB,E55_Type,Pounds of homemade butter,AGR,unknown,BUT_XX_LB
VAR_BWT_XX_A,E55_Type,Acres of buckwheat,AGR,unknown,BWT_XX_A
VAR_BWT_XX_B,E55_Type,Bushels of buckwheat produced in the past year,AGR,unknown,BWT_XX_B
VAR_CRN_XX_A,E55_Type,Acres of corn,AGR,unknown,CRN_XX_A
VAR_CRN_XX_B,E55_Type,Bushels of corn produced in the past year,AGR,unknown,CRN_XX_B
VAR_CTL_CH_N,E55_Type,Number of calves and heifers,AGR,unknown,CTL_CH_N
VAR_CTL_MX_N,E55_Type,Number of milk cows,AGR,unknown,CTL_MX_N
VAR_CTL_OB_N,E55_Type,"Number of bulls, oxen, or steers",AGR,unknown,CTL_OB_N
VAR_CTL_OTH_N,E55_Type,Number of other cattle,AGR,unknown,CTL_OTH_N
VAR_CTL_OX_N,E55_Type,Number of oxen,AGR,unknown,CTL_OX_N
VAR_CTL_PC_LB,E55_Type,Pounds of cheese produced on farms in the past year,AGR,unknown,CTL_PC_LB
VAR_CTL_SX_N,E55_Type,Number of cattle killed or sold in the past year,AGR,unknown,CTL_SX_N
VAR_CTL_XX_N,E55_Type,Number of cattle,AGR,unknown,CTL_XX_N
VAR_FLH_XX_LB,E55_Type,Pounds of flax or hemp produced in the past year,AGR,unknown,FLH_XX_LB
VAR_FLX_XX_LB,E55_Type,Pounds of flax produced in the past year,AGR,unknown,FLX_XX_LB
VAR_FML_XI_A,E55_Type,Acres of improved land in farms,AGR,unknown,FML_XI_A
VAR_FML_XX_A,E55_Type,Acres of land in farms,AGR,unknown,FML_XX_A
VAR_FOWL_CX_N,E55_Type,Number of chickens,AGR,unknown,FOWL_CX_N
VAR_FOWL_DX_N,E55_Type,Number of ducks,AGR,unknown,FOWL_DX_N
VAR_FOWL_GX_N,E55_Type,Number of geese,AGR,unknown,FOWL_GX_N
VAR_FOWL_OTH_N,E55_Type,Number of other fowl,AGR,unknown,FOWL_OTH_N
VAR_FOWL_TX_N,E55_Type,Number of turkeys,AGR,unknown,FOWL_TX_N
VAR_FRM_Q1_N,E55_Type,Number of persons holding farmland of first quality,AGR,unknown,FRM_Q1_N
VAR_FRM_Q2_N,E55_Type,Number of persons holding farmland of second quality,AGR,unknown,FRM_Q2_N
VAR_FRM_Q3_N,E55_Type,Number of persons holding farmland of third quality,AGR,unknown,FRM_Q3_N
VAR_FRM_XX_N,E55_Type,Number of occupants of farms,AGR,unknown,FRM_XX_N
VAR_FRM_XX_V,E55_Type,Value of farms (dollars),AGR,unknown,FRM_XX_V
VAR_FRMLU_ARA_A,E55_Type,Acres of farmland in arable land,AGR,unknown,FRMLU_ARA_A
VAR_FRMLU_CLT_A,E55_Type,Acres of farmland under cultivation,AGR,unknown,FRMLU_CLT_A
VAR_FRMLU_CRP_A,E55_Type,Acres of farmland under crops,AGR,unknown,FRMLU_CRP_A
VAR_FRMLU_GO_A,E55_Type,Acres of farmland in gardens or orchards,AGR,unknown,FRMLU_GO_A
VAR_FRMLU_GX_A,E55_Type,Acres of farmland in gardens,AGR,unknown,FRMLU_GX_A
VAR_FRMLU_PST_A,E55_Type,Acres of farmland in pasture,AGR,unknown,FRMLU_PST_A
VAR_FRMLU_WOD_A,E55_Type,Acres of farmland in woodland or forest,AGR,unknown,FRMLU_WOD_A
VAR_FRMSZ_0to10_N,E55_Type,Number of persons living on farms under 10 acres,AGR,unknown,FRMSZ_0to10_N
VAR_FRMSZ_0to10_N,E55_Type,Number of persons living on farms under 10 acres,AGR,unknown,FRMSZ_0to10_N
VAR_FRMSZ_100to200_N,E55_Type,Number of persons living on farms between 100 and 200 acres,AGR,unknown,FRMSZ_100to200_N
VAR_FRMSZ_101to200_N,E55_Type,Number of persons living on farms between 101 and 200 acres,AGR,unknown,FRMSZ_101to200_N
VAR_FRMSZ_10to20_N,E55_Type,Number of persons living on farms between 10 and 20 acres,AGR,unknown,FRMSZ_10to20_N
VAR_FRMSZ_11to50_N,E55_Type,Number of persons living on farms between 11 and 50 acres,AGR,unknown,FRMSZ_11to50_N
VAR_FRMSZ_20to50_N,E55_Type,Number of persons living on farms between 20 and 50 acres,AGR,unknown,FRMSZ_20to50_N
VAR_FRMSZ_50to100_N,E55_Type,Number of persons living on farms between 50 and 100 acres,AGR,unknown,FRMSZ_50to100_N
VAR_FRMSZ_51to100_N,E55_Type,Number of persons living on farms between 51 and 100 acres,AGR,unknown,FRMSZ_51to100_N
VAR_FRMSZ_ov200_N,E55_Type,Number of persons living on farms over 200 acres,AGR,unknown,FRMSZ_ov200_N
VAR_FRMSZ_ov201_N,E55_Type,Number of persons living on farms over 200 acres,AGR,unknown,FRMSZ_ov201_N
VAR_FRMTN_EX_N,E55_Type,Number of employees on farms,AGR,unknown,FRMTN_EX_N
VAR_FRMTN_OX_A,E55_Type,Acres of farmland owned,AGR,unknown,FRMTN_OX_A
VAR_FRMTN_OX_N,E55_Type,Number of farm occupants who own their land,AGR,unknown,FRMTN_OX_N
VAR_FRMTN_RX_A,E55_Type,Acres of farmland rented,AGR,unknown,FRMTN_RX_A
VAR_FRMTN_SX_A,E55_Type,Acres of farmland neither owned nor rented,AGR,unknown,FRMTN_SX_A
VAR_FRMTN_TX_N,E55_Type,Number of farm occupants who rent their land,AGR,unknown,FRMTN_TX_N
VAR_FRMTN_VX_A,E55_Type,Acres of farmland held by verbal agreement,AGR,unknown,FRMTN_VX_A
VAR_FRMTN_XA_A,E55_Type,Acres of farmland held by townspeople who are not farmers,AGR,unknown,FRMTN_XA_A
VAR_FRT_LX_A,E55_Type,Acres of farmland fertilized with lime,AGR,unknown,FRT_LX_A
VAR_FRT_SX_A,E55_Type,Acres of farmland fertilized with shell manure,AGR,unknown,FRT_SX_A
VAR_FRU_AO_V,E55_Type,Value of apples and other fruits produced in the past year,AGR,unknown,FRU_AO_V
VAR_FRU_PC_G,E55_Type,Gallons of cider produced in the past year,AGR,unknown,FRU_PC_G
VAR_FRU_PX_V,E55_Type,Value of garden and orchard crops produced in the past year,AGR,unknown,FRU_PX_V
VAR_GRA_TX_B,E55_Type,Bushels of timothy grass seed produced in the past year,AGR,unknown,GRA_TX_B
VAR_GRA_XS_B,E55_Type,"Bushels of clover, timothy, or other grass seed produced in the past year",AGR,unknown,GRA_XS_B
VAR_HAY_XX_A,E55_Type,Acres of hay crops,AGR,unknown,HAY_XX_A
VAR_HAY_XX_T,E55_Type,Tons of hay produced in the past year,AGR,unknown,HAY_XX_T
VAR_HOP_XX_LB,E55_Type,Pounds of hops produced in the past year,AGR,unknown,HOP_XX_LB
VAR_HRS_0to03_N,E55_Type,Number of horses aged 3 years and under,AGR,unknown,HRS_0to03_N
VAR_HRS_ov03_N,E55_Type,Number of horses aged over 3 years,AGR,unknown,HRS_ov03_N
VAR_HRS_XX_N,E55_Type,Number of horses,AGR,unknown,HRS_XX_N
VAR_LEG_CS_B,E55_Type,Bushels of clover seed produced in the past year,AGR,unknown,LEG_CS_B
VAR_LEG_VX_B,E55_Type,Bushels of vetches produced in the past year,AGR,unknown,LEG_VX_B
VAR_MACH_FI_V,E55_Type,Value of farm implements in dollars,AGR,unknown,MACH_FI_V
VAR_MACH_FX_N,E55_Type,Number of farming mills,AGR,unknown,MACH_FX_N
VAR_MACH_HB_N,E55_Type,Number of hay-making machines,AGR,unknown,MACH_HB_N
VAR_MACH_HE_N,E55_Type,Number of hay elevators,AGR,unknown,MACH_HE_N
VAR_MACH_HM_N,E55_Type,Number of hay mowing machines,AGR,unknown,MACH_HM_N
VAR_MACH_MD_N,E55_Type,Number of mud-digging machines,AGR,unknown,MACH_MD_N
VAR_MACH_OTH_N,E55_Type,Number of other machines,AGR,unknown,MACH_OTH_N
VAR_MACH_TX_N,E55_Type,Number of threshing machines,AGR,unknown,MACH_TX_N
VAR_MPL_PS_LB,E55_Type,Pounds of maple sugar produced in the past year,AGR,unknown,MPL_PS_LB
VAR_OAT_XX_A,E55_Type,Acres of oats,AGR,unknown,OAT_XX_A
VAR_OAT_XX_B,E55_Type,Bushels of oats produced in the past year,AGR,unknown,OAT_XX_B
VAR_PEA_BX_A,E55_Type,Bushels of peas and beans produced in the past year,AGR,unknown,PEA_BX_A
VAR_PEA_XX_A,E55_Type,Acres of peas,AGR,unknown,PEA_XX_A
VAR_PEA_XX_B,E55_Type,Bushels of peas produced in the past year,AGR,unknown,PEA_XX_B
VAR_POT_XX_A,E55_Type,Acres of potatoes,AGR,unknown,POT_XX_A
VAR_POT_XX_B,E55_Type,Bushels of potatoes produced in the past year,AGR,unknown,POT_XX_B
VAR_ROOT_CX_B,E55_Type,Bushels of carrots produced in the past year,AGR,unknown,ROOT_CX_B
VAR_ROOT_MW_A,E55_Type,Acres of mangel wurtzel,AGR,unknown,ROOT_MW_A
VAR_ROOT_MW_B,E55_Type,Bushels of mangel wurtzel produced in the past year,AGR,unknown,ROOT_MW_B
VAR_ROOT_OTH_B,E55_Type,Bushels of other root crops produced in the past year,AGR,unknown,ROOT_OTH_B
VAR_ROOT_TX_A,E55_Type,Acres of turnips,AGR,unknown,ROOT_TX_A
VAR_ROOT_TX_B,E55_Type,Bushels of turnips produced in the past year,AGR,unknown,ROOT_TX_B
VAR_RYE_XX_A,E55_Type,Acres of rye,AGR,unknown,RYE_XX_A
VAR_RYE_XX_B,E55_Type,Bushels of rye produced in the past year,AGR,unknown,RYE_XX_B
VAR_SHP_WC_LB,E55_Type,Pounds of coarse wool produced on farms in the past year,AGR,unknown,SHP_WC_LB
VAR_SHP_WF_LB,E55_Type,Pounds of fine wool produced on farms in the past year,AGR,unknown,SHP_WF_LB
VAR_SHP_WX_LB,E55_Type,Pounds of wool produced on farms in the past year,AGR,unknown,SHP_WX_LB
VAR_SHP_XS_N,E55_Type,Number of sheep slaughtered or sold,AGR,unknown,SHP_XS_N
VAR_SHP_XX_N,E55_Type,Number of sheep,AGR,unknown,SHP_XX_N
VAR_SILO_XX_T,E55_Type,Capacity of silos (tons),AGR,unknown,SILO_XX_T
VAR_STO_XX_V,E55_Type,Value of all livestock,AGR,unknown,STO_XX_V
VAR_SWN_PX_BL,E55_Type,Barrels of pork produced in the past year,AGR,unknown,SWN_PX_BL
VAR_SWN_XS_N,E55_Type,Number of swine slaughtered or sold,AGR,unknown,SWN_XS_N
VAR_SWN_XX_N,E55_Type,Number of swine,AGR,unknown,SWN_XX_N
VAR_TOB_XX_LB,E55_Type,Pounds of tobacco produced in the past year,AGR,unknown,TOB_XX_LB
VAR_WHT_SX_A,E55_Type,Acres of spring wheat,AGR,unknown,WHT_SX_A
VAR_WHT_SX_B,E55_Type,Bushels of spring wheat produced in the past year,AGR,unknown,WHT_SX_B
VAR_WHT_WX_A,E55_Type,Acres of winter wheat,AGR,unknown,WHT_WX_A
VAR_WHT_WX_B,E55_Type,Bushels of winter wheat produced in the past year,AGR,unknown,WHT_WX_B
VAR_WHT_XX_A,E55_Type,Acres of wheat,AGR,unknown,WHT_XX_A
VAR_WHT_XX_B,E55_Type,Bushels of wheat produced in the past year,AGR,unknown,WHT_XX_B
VAR_BLD_CX_N,E55_Type,Number of churches,BLD,unknown,BLD_CX_N
VAR_BLD_SX_N,E55_Type,Number or schoolhouses,BLD,unknown,BLD_SX_N
VAR_HOUSE_01R_N,E55_Type,Number of houses of 1 room,BLD,unknown,HOUSE_01R_N
VAR_HOUSE_01S_N,E55_Type,Number of houses of 1 story,BLD,unknown,HOUSE_01S_N
VAR_HOUSE_02R_N,E55_Type,Number of houses of 2 rooms,BLD,unknown,HOUSE_02R_N
VAR_HOUSE_02S_N,E55_Type,Number of houses of 2 stories,BLD,unknown,HOUSE_02S_N
VAR_HOUSE_03R_N,E55_Type,Number of houses of 3 rooms,BLD,unknown,HOUSE_03R_N
VAR_HOUSE_03S_N,E55_Type,Number of houses of 3 stories,BLD,unknown,HOUSE_03S_N
VAR_HOUSE_04R_N,E55_Type,Number of houses of 4 rooms,BLD,unknown,HOUSE_04R_N
VAR_HOUSE_05R_N,E55_Type,Number of houses of 5 rooms,BLD,unknown,HOUSE_05R_N
VAR_HOUSE_06to10R_N,E55_Type,Number of houses of 6 to 10 rooms,BLD,unknown,HOUSE_06to10R_N
VAR_HOUSE_11to15R_N,E55_Type,Number of houses of 11 to 15 rooms,BLD,unknown,HOUSE_11to15R_N
VAR_HOUSE_BX_N,E55_Type,Number of houses built of brick,BLD,unknown,HOUSE_BX_N
VAR_HOUSE_ov04S_N,E55_Type,Number of houses of more than 3 stories,BLD,unknown,HOUSE_ov04S_N
VAR_HOUSE_ov16R_N,E55_Type,Number of houses of over 15 rooms,BLD,unknown,HOUSE_ov16R_N
VAR_HOUSE_SX_N,E55_Type,Number of houses built of stone,BLD,unknown,HOUSE_SX_N
VAR_HOUSE_TS_N,E55_Type,Number of dwellings that are temporary shanties,BLD,unknown,HOUSE_TS_N
VAR_HOUSE_TV_N,E55_Type,Number of dwellings that are temporary vessels,BLD,unknown,HOUSE_TV_N
VAR_HOUSE_TX_N,E55_Type,Number of dwellings that are vessels and shanties,BLD,unknown,HOUSE_TX_N
VAR_HOUSE_WX_N,E55_Type,Number of houses built of wood,BLD,unknown,HOUSE_WX_N
VAR_HOUSE_XC_N,E55_Type,Number of houses under construction,BLD,unknown,HOUSE_XC_N
VAR_HOUSE_XI_N,E55_Type,Number of inhabited houses,BLD,unknown,HOUSE_XI_N
VAR_HOUSE_XO_N,E55_Type,Number of occupied houses,BLD,unknown,HOUSE_XO_N
VAR_HOUSE_XU_N,E55_Type,Number of uninhabited houses,BLD,unknown,HOUSE_XU_N
VAR_HOUSE_XX_N,E55_Type,Number of houses,BLD,unknown,HOUSE_XX_N
VAR_DTH_01to02F_N,E55_Type,Deaths in the past year among females aged 1 to 2,DTH,unknown,DTH_01to02F_N
VAR_DTH_01to02M_N,E55_Type,Deaths in the past year among males aged 1 to 2,DTH,unknown,DTH_01to02M_N
VAR_DTH_02to03F_N,E55_Type,Deaths in the past year among females aged 2 to 3,DTH,unknown,DTH_02to03F_N
VAR_DTH_02to03M_N,E55_Type,Deaths in the past year among males aged 2 to 3,DTH,unknown,DTH_02to03M_N
VAR_DTH_03to04F_N,E55_Type,Deaths in the past year among females aged 3 to 4,DTH,unknown,DTH_03to04F_N
VAR_DTH_03to04M_N,E55_Type,Deaths in the past year among males age 3 to 4,DTH,unknown,DTH_03to04M_N
VAR_DTH_04to05F_N,E55_Type,Deaths in the past year among females aged 4 to 5,DTH,unknown,DTH_04to05F_N
VAR_DTH_04to05M_N,E55_Type,Deaths in the past year among males aged 4 to 5,DTH,unknown,DTH_04to05M_N
VAR_DTH_05to10F_N,E55_Type,Deaths in the past year among females aged 5 to 10,DTH,unknown,DTH_05to10F_N
VAR_DTH_05to10M_N,E55_Type,Deaths in the past year among males aged 5 to 10,DTH,unknown,DTH_05to10M_N
VAR_DTH_0to01F_N,E55_Type,Deaths in the past year among females under age 1,DTH,unknown,DTH_0to01F_N
VAR_DTH_0to01M_N,E55_Type,Deaths in the past year among males under age 1,DTH,unknown,DTH_0to01M_N
VAR_DTH_10to15F_N,E55_Type,Deaths in the past year among females aged 10 to 15,DTH,unknown,DTH_10to15F_N
VAR_DTH_10to15M_N,E55_Type,Deaths in the past year among males aged 10 to 15,DTH,unknown,DTH_10to15M_N
VAR_DTH_15to20F_N,E55_Type,Deaths in the past year among females aged 15 to 20,DTH,unknown,DTH_15to20F_N
VAR_DTH_15to20M_N,E55_Type,Deaths in the past year among males aged 15 to 20,DTH,unknown,DTH_15to20M_N
VAR_DTH_20to30F_N,E55_Type,Deaths in the past year among females aged 20 to 30,DTH,unknown,DTH_20to30F_N
